step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,f1_c_only,em_c_only,wall_time_s
1240,1,1.870685,1.464816e-02,2.746529e-03,2.746529e-03,,,,,2418.5
1260,1,1.741556,1.461345e-02,2.740022e-03,2.740022e-03,,,,,2457.9
1280,1,1.565597,1.457874e-02,2.733514e-03,2.733514e-03,,,,,2497.3
1300,1,2.181576,1.454403e-02,2.727007e-03,2.727007e-03,,,,,2536.4
1320,1,1.195767,1.450933e-02,2.720499e-03,2.720499e-03,,,,,2575.6
1340,1,1.181294,1.447462e-02,2.713991e-03,2.713991e-03,,,,,2614.7
1360,1,1.534987,1.443991e-02,2.707484e-03,2.707484e-03,,,,,2653.8
1380,1,1.861681,1.440521e-02,2.700976e-03,2.700976e-03,,,,,2693.1
1400,1,1.620324,1.437050e-02,2.694469e-03,2.694469e-03,,,,,2732.6
1420,1,1.376764,1.433579e-02,2.687961e-03,2.687961e-03,,,,,2771.9
1440,1,1.826849,1.430108e-02,2.681453e-03,2.681453e-03,,,,,2811.1
1460,1,1.250752,1.426638e-02,2.674946e-03,2.674946e-03,,,,,2850.3
1480,1,2.268765,1.423167e-02,2.668438e-03,2.668438e-03,,,,,2889.8
1500,1,1.728883,1.419696e-02,2.661931e-03,2.661931e-03,,,,,2929.3
1520,1,1.645425,1.416226e-02,2.655423e-03,2.655423e-03,,,,,2968.8
1540,1,1.714809,1.412755e-02,2.648915e-03,2.648915e-03,,,,,3008.3
1560,1,1.746757,1.409284e-02,2.642408e-03,2.642408e-03,,,,,3047.7
1580,1,2.294236,1.405813e-02,2.635900e-03,2.635900e-03,,,,,3087.0
1600,1,2.076229,1.402343e-02,2.629393e-03,2.629393e-03,,,,,3126.3
1620,1,1.559573,1.398872e-02,2.622885e-03,2.622885e-03,,,,,3165.8
1640,1,1.588487,1.395401e-02,2.616377e-03,2.616377e-03,,,,,3205.1
1660,1,1.662317,1.391931e-02,2.609870e-03,2.609870e-03,,,,,3244.4
1680,1,2.049455,1.388460e-02,2.603362e-03,2.603362e-03,,,,,3283.8
1700,1,1.441935,1.384989e-02,2.596855e-03,2.596855e-03,,,,,3323.1
1720,1,2.127376,1.381518e-02,2.590347e-03,2.590347e-03,,,,,3362.2
1740,1,2.084815,1.378048e-02,2.583839e-03,2.583839e-03,,,,,3401.3
1760,1,1.878725,1.374577e-02,2.577332e-03,2.577332e-03,,,,,3440.5
1780,1,1.264075,1.371106e-02,2.570824e-03,2.570824e-03,,,,,3480.2
1800,1,1.632005,1.367636e-02,2.564317e-03,2.564317e-03,,,,,3519.7
1820,1,1.970794,1.364165e-02,2.557809e-03,2.557809e-03,,,,,3559.4
1840,1,1.965711,1.360694e-02,2.551302e-03,2.551302e-03,,,,,3599.0
1844,1,1.932641,1.360000e-02,2.550000e-03,2.550000e-03,72.33,61.64,74.90,64.46,3989.4
1860,2,2.139266,1.357223e-02,2.544794e-03,2.544794e-03,,,,,4021.5
1880,2,2.084360,1.353753e-02,2.538286e-03,2.538286e-03,,,,,4060.8
1900,2,2.076820,1.350282e-02,2.531779e-03,2.531779e-03,,,,,4100.1
1920,2,1.745387,1.346811e-02,2.525271e-03,2.525271e-03,,,,,4139.4
1940,2,2.466878,1.343341e-02,2.518764e-03,2.518764e-03,,,,,4178.7
1960,2,2.136378,1.339870e-02,2.512256e-03,2.512256e-03,,,,,4218.0
1980,2,2.818318,1.336399e-02,2.505748e-03,2.505748e-03,,,,,4257.4
2000,2,1.560797,1.332928e-02,2.499241e-03,2.499241e-03,,,,,4296.5
2020,2,2.508015,1.329458e-02,2.492733e-03,2.492733e-03,,,,,4335.8
2040,2,1.523723,1.325987e-02,2.486226e-03,2.486226e-03,,,,,4374.8
2060,2,1.993641,1.322516e-02,2.479718e-03,2.479718e-03,,,,,4414.1
2080,2,2.565544,1.319046e-02,2.473210e-03,2.473210e-03,,,,,4453.5
2100,2,2.576970,1.315575e-02,2.466703e-03,2.466703e-03,,,,,4492.9
2120,2,1.899623,1.312104e-02,2.460195e-03,2.460195e-03,,,,,4532.0
2140,2,2.523763,1.308633e-02,2.453688e-03,2.453688e-03,,,,,4570.9
2160,2,3.177767,1.305163e-02,2.447180e-03,2.447180e-03,,,,,4609.8
2180,2,2.787607,1.301692e-02,2.440672e-03,2.440672e-03,,,,,4648.8
2200,2,2.197776,1.298221e-02,2.434165e-03,2.434165e-03,,,,,4687.7
2220,2,2.661964,1.294751e-02,2.427657e-03,2.427657e-03,,,,,4726.6
2240,2,3.359957,1.291280e-02,2.421150e-03,2.421150e-03,,,,,4765.5
2260,2,2.983726,1.287809e-02,2.414642e-03,2.414642e-03,,,,,4804.5
2280,2,3.131433,1.284338e-02,2.408134e-03,2.408134e-03,,,,,4843.4
2300,2,3.053607,1.280868e-02,2.401627e-03,2.401627e-03,,,,,4882.5
2320,2,2.939068,1.277397e-02,2.395119e-03,2.395119e-03,,,,,4921.3
2340,2,3.444734,1.273926e-02,2.388612e-03,2.388612e-03,,,,,4960.0
2360,2,2.863498,1.270456e-02,2.382104e-03,2.382104e-03,,,,,4998.8
2380,2,3.242002,1.266985e-02,2.375597e-03,2.375597e-03,,,,,5037.7
2400,2,2.628279,1.263514e-02,2.369089e-03,2.369089e-03,,,,,5076.3
2420,2,2.283529,1.260043e-02,2.362581e-03,2.362581e-03,,,,,5115.0
2440,2,2.598865,1.256573e-02,2.356074e-03,2.356074e-03,,,,,5153.6
2460,2,2.946023,1.253102e-02,2.349566e-03,2.349566e-03,,,,,5192.0
2480,2,2.808509,1.249631e-02,2.343059e-03,2.343059e-03,,,,,5230.7
2500,2,2.900020,1.246161e-02,2.336551e-03,2.336551e-03,,,,,5269.5
2520,2,2.680155,1.242690e-02,2.330043e-03,2.330043e-03,,,,,5308.3
2540,2,3.415090,1.239219e-02,2.323536e-03,2.323536e-03,,,,,5347.4
2560,2,2.866664,1.235748e-02,2.317028e-03,2.317028e-03,,,,,5386.1
2580,2,3.394900,1.232278e-02,2.310521e-03,2.310521e-03,,,,,5424.8
2600,2,4.419506,1.228807e-02,2.304013e-03,2.304013e-03,,,,,5463.5
2620,2,3.382320,1.225336e-02,2.297505e-03,2.297505e-03,,,,,5502.2
2640,2,3.479608,1.221866e-02,2.290998e-03,2.290998e-03,,,,,5540.8
2660,2,3.286158,1.218395e-02,2.284490e-03,2.284490e-03,,,,,5579.4
2680,2,3.549557,1.214924e-02,2.277983e-03,2.277983e-03,,,,,5618.0
2700,2,3.459354,1.211453e-02,2.271475e-03,2.271475e-03,,,,,5656.5
2720,2,4.374638,1.207983e-02,2.264967e-03,2.264967e-03,,,,,5695.0
2740,2,3.787010,1.204512e-02,2.258460e-03,2.258460e-03,,,,,5733.3
2760,2,3.747798,1.201041e-02,2.251952e-03,2.251952e-03,,,,,5771.9
2780,2,3.560547,1.197570e-02,2.245445e-03,2.245445e-03,,,,,5810.3
2800,2,3.821568,1.194100e-02,2.238937e-03,2.238937e-03,,,,,5848.5
2820,2,2.930167,1.190629e-02,2.232430e-03,2.232430e-03,,,,,5886.7
2840,2,3.501723,1.187158e-02,2.225922e-03,2.225922e-03,,,,,5924.8
2860,2,4.061844,1.183688e-02,2.219414e-03,2.219414e-03,,,,,5962.9
2880,2,3.982979,1.180217e-02,2.212907e-03,2.212907e-03,,,,,6000.9
2900,2,4.698279,1.176746e-02,2.206399e-03,2.206399e-03,,,,,6039.0
2920,2,3.824786,1.173275e-02,2.199892e-03,2.199892e-03,,,,,6077.1
2940,2,4.179104,1.169805e-02,2.193384e-03,2.193384e-03,,,,,6115.0
2960,2,3.749580,1.166334e-02,2.186876e-03,2.186876e-03,,,,,6153.1
2980,2,3.474253,1.162863e-02,2.180369e-03,2.180369e-03,,,,,6191.2
3000,2,4.292959,1.159393e-02,2.173861e-03,2.173861e-03,,,,,6229.5
3020,2,4.223634,1.155922e-02,2.167354e-03,2.167354e-03,,,,,6267.4
3040,2,4.150904,1.152451e-02,2.160846e-03,2.160846e-03,,,,,6305.2
3060,2,4.866806,1.148980e-02,2.154338e-03,2.154338e-03,,,,,6343.1
3080,2,3.731320,1.145510e-02,2.147831e-03,2.147831e-03,,,,,6381.1
3100,2,3.809498,1.142039e-02,2.141323e-03,2.141323e-03,,,,,6419.0
3120,2,4.022671,1.138568e-02,2.134816e-03,2.134816e-03,,,,,6456.9
3140,2,4.480181,1.135098e-02,2.128308e-03,2.128308e-03,,,,,6495.1
3160,2,4.564842,1.131627e-02,2.121800e-03,2.121800e-03,,,,,6533.3
3180,2,4.065364,1.128156e-02,2.115293e-03,2.115293e-03,,,,,6571.4
3200,2,4.539725,1.124685e-02,2.108785e-03,2.108785e-03,,,,,6609.3
3220,2,3.783193,1.121215e-02,2.102278e-03,2.102278e-03,,,,,6647.4
3240,2,4.678499,1.117744e-02,2.095770e-03,2.095770e-03,,,,,6685.5
3260,2,3.849715,1.114273e-02,2.089262e-03,2.089262e-03,,,,,6723.5
3280,2,4.021657,1.110803e-02,2.082755e-03,2.082755e-03,,,,,6761.5
3300,2,4.159777,1.107332e-02,2.076247e-03,2.076247e-03,,,,,6799.4
3320,2,4.007122,1.103861e-02,2.069740e-03,2.069740e-03,,,,,6837.4
3340,2,4.296060,1.100390e-02,2.063232e-03,2.063232e-03,,,,,6875.4
3360,2,4.322453,1.096920e-02,2.056725e-03,2.056725e-03,,,,,6913.4
3380,2,4.192378,1.093449e-02,2.050217e-03,2.050217e-03,,,,,6951.4
3400,2,4.428351,1.089978e-02,2.043709e-03,2.043709e-03,,,,,6989.4
3420,2,4.592043,1.086508e-02,2.037202e-03,2.037202e-03,,,,,7027.3
3440,2,4.481962,1.083037e-02,2.030694e-03,2.030694e-03,,,,,7065.2
3460,2,4.551476,1.079566e-02,2.024187e-03,2.024187e-03,,,,,7103.1
3480,2,4.729572,1.076095e-02,2.017679e-03,2.017679e-03,,,,,7141.0
3500,2,4.554598,1.072625e-02,2.011171e-03,2.011171e-03,,,,,7178.8
3520,2,4.247612,1.069154e-02,2.004664e-03,2.004664e-03,,,,,7216.6
3540,2,4.445525,1.065683e-02,1.998156e-03,1.998156e-03,,,,,7254.4
3560,2,4.522943,1.062213e-02,1.991649e-03,1.991649e-03,,,,,7292.1
3580,2,4.521105,1.058742e-02,1.985141e-03,1.985141e-03,,,,,7330.1
3600,2,4.785608,1.055271e-02,1.978633e-03,1.978633e-03,,,,,7368.1
3620,2,4.477002,1.051800e-02,1.972126e-03,1.972126e-03,,,,,7406.1
3640,2,4.444011,1.048330e-02,1.965618e-03,1.965618e-03,,,,,7443.9
3660,2,4.657991,1.044859e-02,1.959111e-03,1.959111e-03,,,,,7481.8
3680,2,4.591496,1.041388e-02,1.952603e-03,1.952603e-03,,,,,7519.7
3688,2,3.474381,1.040000e-02,1.950000e-03,1.950000e-03,10.90,3.57,11.29,2.91,7996.0
3700,3,4.332988,1.037918e-02,1.946095e-03,1.946095e-03,,,,,8019.5
3720,3,4.582575,1.034447e-02,1.939588e-03,1.939588e-03,,,,,8057.6
3740,3,4.373144,1.030976e-02,1.933080e-03,1.933080e-03,,,,,8095.7
3760,3,4.440519,1.027505e-02,1.926573e-03,1.926573e-03,,,,,8133.9
3780,3,5.238034,1.024035e-02,1.920065e-03,1.920065e-03,,,,,8171.7
3800,3,4.822245,1.020564e-02,1.913557e-03,1.913557e-03,,,,,8209.5
3820,3,4.487783,1.017093e-02,1.907050e-03,1.907050e-03,,,,,8247.2
3840,3,4.429934,1.013623e-02,1.900542e-03,1.900542e-03,,,,,8285.1
3860,3,4.900375,1.010152e-02,1.894035e-03,1.894035e-03,,,,,8322.9
3880,3,4.696569,1.006681e-02,1.887527e-03,1.887527e-03,,,,,8360.6
3900,3,4.520787,1.003210e-02,1.881020e-03,1.881020e-03,,,,,8398.5
3920,3,4.572326,9.997397e-03,1.874512e-03,1.874512e-03,,,,,8436.4
3940,3,4.940718,9.962690e-03,1.868004e-03,1.868004e-03,,,,,8474.4
3960,3,4.694278,9.927983e-03,1.861497e-03,1.861497e-03,,,,,8512.2
3980,3,4.941352,9.893275e-03,1.854989e-03,1.854989e-03,,,,,8549.9
4000,3,4.713836,9.858568e-03,1.848482e-03,1.848482e-03,,,,,8587.5
4020,3,4.598491,9.823861e-03,1.841974e-03,1.841974e-03,,,,,8625.2
4040,3,4.692432,9.789154e-03,1.835466e-03,1.835466e-03,,,,,8662.9
4060,3,4.568870,9.754447e-03,1.828959e-03,1.828959e-03,,,,,8700.6
4080,3,4.357296,9.719740e-03,1.822451e-03,1.822451e-03,,,,,8738.3
4100,3,4.580649,9.685033e-03,1.815944e-03,1.815944e-03,,,,,8776.0
4120,3,4.263147,9.650325e-03,1.809436e-03,1.809436e-03,,,,,8813.7
4140,3,4.561542,9.615618e-03,1.802928e-03,1.802928e-03,,,,,8851.4
4160,3,4.456522,9.580911e-03,1.796421e-03,1.796421e-03,,,,,8889.3
4180,3,4.207379,9.546204e-03,1.789913e-03,1.789913e-03,,,,,8927.1
4200,3,4.720588,9.511497e-03,1.783406e-03,1.783406e-03,,,,,8964.9
4220,3,4.652289,9.476790e-03,1.776898e-03,1.776898e-03,,,,,9002.6
4240,3,4.907967,9.442082e-03,1.770390e-03,1.770390e-03,,,,,9040.4
4260,3,4.634977,9.407375e-03,1.763883e-03,1.763883e-03,,,,,9078.1
4280,3,4.441810,9.372668e-03,1.757375e-03,1.757375e-03,,,,,9115.8
4300,3,4.828262,9.337961e-03,1.750868e-03,1.750868e-03,,,,,9153.7
4320,3,4.899770,9.303254e-03,1.744360e-03,1.744360e-03,,,,,9191.4
4340,3,4.391038,9.268547e-03,1.737852e-03,1.737852e-03,,,,,9229.0
4360,3,4.890734,9.233839e-03,1.731345e-03,1.731345e-03,,,,,9266.8
4380,3,4.513541,9.199132e-03,1.724837e-03,1.724837e-03,,,,,9304.6
4400,3,4.436608,9.164425e-03,1.718330e-03,1.718330e-03,,,,,9342.5
4420,3,4.731682,9.129718e-03,1.711822e-03,1.711822e-03,,,,,9380.4
4440,3,4.547739,9.095011e-03,1.705315e-03,1.705315e-03,,,,,9418.4
4460,3,4.745464,9.060304e-03,1.698807e-03,1.698807e-03,,,,,9456.2
4480,3,4.428423,9.025597e-03,1.692299e-03,1.692299e-03,,,,,9494.1
4500,3,4.752447,8.990889e-03,1.685792e-03,1.685792e-03,,,,,9532.1
4520,3,4.492986,8.956182e-03,1.679284e-03,1.679284e-03,,,,,9570.3
4540,3,5.169310,8.921475e-03,1.672777e-03,1.672777e-03,,,,,9608.4
4560,3,4.818146,8.886768e-03,1.666269e-03,1.666269e-03,,,,,9646.6
4580,3,4.962730,8.852061e-03,1.659761e-03,1.659761e-03,,,,,9684.9
4600,3,4.515074,8.817354e-03,1.653254e-03,1.653254e-03,,,,,9723.0
4620,3,4.512259,8.782646e-03,1.646746e-03,1.646746e-03,,,,,9761.3
4640,3,4.292198,8.747939e-03,1.640239e-03,1.640239e-03,,,,,9799.3
4660,3,4.308328,8.713232e-03,1.633731e-03,1.633731e-03,,,,,9837.3
4680,3,4.625487,8.678525e-03,1.627223e-03,1.627223e-03,,,,,9875.1
4700,3,4.525511,8.643818e-03,1.620716e-03,1.620716e-03,,,,,9913.1
4720,3,4.276544,8.609111e-03,1.614208e-03,1.614208e-03,,,,,9951.0
4740,3,4.844620,8.574403e-03,1.607701e-03,1.607701e-03,,,,,9988.8
4760,3,4.100415,8.539696e-03,1.601193e-03,1.601193e-03,,,,,10026.6
4780,3,4.747131,8.504989e-03,1.594685e-03,1.594685e-03,,,,,10064.4
4800,3,4.523216,8.470282e-03,1.588178e-03,1.588178e-03,,,,,10102.1
4820,3,4.968313,8.435575e-03,1.581670e-03,1.581670e-03,,,,,10139.8
4840,3,4.421022,8.400868e-03,1.575163e-03,1.575163e-03,,,,,10177.4
4860,3,4.410783,8.366161e-03,1.568655e-03,1.568655e-03,,,,,10215.3
4880,3,4.697720,8.331453e-03,1.562148e-03,1.562148e-03,,,,,10253.1
4900,3,4.541143,8.296746e-03,1.555640e-03,1.555640e-03,,,,,10290.7
4920,3,4.588439,8.262039e-03,1.549132e-03,1.549132e-03,,,,,10328.4
4940,3,4.428471,8.227332e-03,1.542625e-03,1.542625e-03,,,,,10366.2
4960,3,4.427825,8.192625e-03,1.536117e-03,1.536117e-03,,,,,10403.9
4980,3,4.705825,8.157918e-03,1.529610e-03,1.529610e-03,,,,,10441.6
5000,3,4.778842,8.123210e-03,1.523102e-03,1.523102e-03,,,,,10479.5
5020,3,4.499176,8.088503e-03,1.516594e-03,1.516594e-03,,,,,10517.3
5040,3,4.399373,8.053796e-03,1.510087e-03,1.510087e-03,,,,,10555.1
5060,3,4.692461,8.019089e-03,1.503579e-03,1.503579e-03,,,,,10592.7
5080,3,4.576428,7.984382e-03,1.497072e-03,1.497072e-03,,,,,10630.8
5100,3,4.917666,7.949675e-03,1.490564e-03,1.490564e-03,,,,,10669.0
5120,3,4.706346,7.914967e-03,1.484056e-03,1.484056e-03,,,,,10707.1
5140,3,4.697515,7.880260e-03,1.477549e-03,1.477549e-03,,,,,10745.0
5160,3,4.760765,7.845553e-03,1.471041e-03,1.471041e-03,,,,,10783.1
5180,3,4.246480,7.810846e-03,1.464534e-03,1.464534e-03,,,,,10821.1
5200,3,4.480183,7.776139e-03,1.458026e-03,1.458026e-03,,,,,10859.1
5220,3,4.759531,7.741432e-03,1.451518e-03,1.451518e-03,,,,,10897.1
5240,3,4.941134,7.706725e-03,1.445011e-03,1.445011e-03,,,,,10935.0
5260,3,5.226635,7.672017e-03,1.438503e-03,1.438503e-03,,,,,10973.0
5280,3,5.012806,7.637310e-03,1.431996e-03,1.431996e-03,,,,,11011.2
5300,3,4.665132,7.602603e-03,1.425488e-03,1.425488e-03,,,,,11049.1
5320,3,4.668110,7.567896e-03,1.418980e-03,1.418980e-03,,,,,11087.3
5340,3,4.608932,7.533189e-03,1.412473e-03,1.412473e-03,,,,,11125.1
5360,3,4.616587,7.498482e-03,1.405965e-03,1.405965e-03,,,,,11162.8
5380,3,4.479894,7.463774e-03,1.399458e-03,1.399458e-03,,,,,11200.4
5400,3,4.869492,7.429067e-03,1.392950e-03,1.392950e-03,,,,,11238.2
5420,3,5.108715,7.394360e-03,1.386443e-03,1.386443e-03,,,,,11275.9
5440,3,4.704412,7.359653e-03,1.379935e-03,1.379935e-03,,,,,11313.6
5460,3,4.690392,7.324946e-03,1.373427e-03,1.373427e-03,,,,,11351.2
5480,3,4.817792,7.290239e-03,1.366920e-03,1.366920e-03,,,,,11388.9
5500,3,4.618356,7.255531e-03,1.360412e-03,1.360412e-03,,,,,11426.6
5520,3,4.545088,7.220824e-03,1.353905e-03,1.353905e-03,,,,,11464.3
5532,3,4.595049,7.200000e-03,1.350000e-03,1.350000e-03,9.11,0.96,9.08,1.09,11874.4
5540,4,4.527738,7.186117e-03,1.347397e-03,1.347397e-03,,,,,11890.0
5560,4,4.908613,7.151410e-03,1.340889e-03,1.340889e-03,,,,,11927.6
5580,4,4.648570,7.116703e-03,1.334382e-03,1.334382e-03,,,,,11965.3
